dataset,nmf,noise_type,noise_level,seed,rmse,acc,nmi
YaleB,L1NormRegularizedNMF,gaussian,0.05,3407,0.8107177189201036,0.1210865561694291,0.15156982511803588
ORL,L1NormRegularizedNMF,gaussian,0.08,0,0.196832138972845,0.6527777777777778,0.8143302849360463
YaleB,L1NormRegularizedNMF,gaussian,0.08,0,4.640611189819878,0.1003683241252302,0.09426382623650695
ORL,L1NormRegularizedNMF,gaussian,0.08,42,0.23710874646543298,0.6611111111111111,0.7947635444128944
YaleB,L1NormRegularizedNMF,gaussian,0.08,42,2.3963771141274615,0.07734806629834254,0.06991014259857006
ORL,L1NormRegularizedNMF,gaussian,0.08,99,0.19851863991621022,0.5833333333333334,0.7584221887400201
YaleB,L1NormRegularizedNMF,gaussian,0.08,99,2.966250679116377,0.08379373848987108,0.08200127607257224
ORL,L1NormRegularizedNMF,gaussian,0.08,512,0.2179491637169243,0.6527777777777778,0.8058872848327734
YaleB,L1NormRegularizedNMF,gaussian,0.08,512,2.8327925548368293,0.07320441988950276,0.05655641500825385
ORL,L1NormRegularizedNMF,gaussian,0.08,3407,0.2886257991957607,0.6444444444444445,0.8091200251759282
YaleB,L1NormRegularizedNMF,gaussian,0.08,3407,2.455667738190028,0.08701657458563536,0.08489171356807612
ORL,L1NormRegularizedNMF,laplacian,0.04,0,0.11238387899363046,0.6888888888888889,0.8216369500377219
YaleB,L1NormRegularizedNMF,laplacian,0.04,0,1.357136521303706,0.10957642725598526,0.13420829545261975
ORL,L1NormRegularizedNMF,laplacian,0.04,42,0.11255822485547101,0.7194444444444444,0.8387486943404872
YaleB,L1NormRegularizedNMF,laplacian,0.04,42,1.1247214461042536,0.11141804788213629,0.1317326211001796
ORL,L1NormRegularizedNMF,laplacian,0.04,99,0.10206367466160007,0.6833333333333333,0.8153442566363271
YaleB,L1NormRegularizedNMF,laplacian,0.04,99,2.3929994003840926,0.08241252302025782,0.07133724022612202
ORL,L1NormRegularizedNMF,laplacian,0.04,512,0.12529648024153792,0.6527777777777778,0.8009991585082051
YaleB,L1NormRegularizedNMF,laplacian,0.04,512,2.418319381075637,0.08517495395948435,0.07462752710934122
ORL,L1NormRegularizedNMF,laplacian,0.04,3407,0.11042874169139101,0.6638888888888889,0.8153779669138671
YaleB,L1NormRegularizedNMF,laplacian,0.04,3407,1.0526867743554542,0.12016574585635359,0.17581721331921593
ORL,L1NormRegularizedNMF,laplacian,0.06,0,0.29869728544598995,0.6916666666666667,0.8223704652718701
YaleB,L1NormRegularizedNMF,laplacian,0.06,0,3.421829480480115,0.08103130755064457,0.08132409990349761
ORL,L1NormRegularizedNMF,laplacian,0.06,42,0.285602006174936,0.6972222222222222,0.8261918729482282
YaleB,L1NormRegularizedNMF,laplacian,0.06,42,3.6030381889624836,0.09069981583793739,0.08351954299597579
ORL,L1NormRegularizedNMF,laplacian,0.06,99,0.18544096152607578,0.6583333333333333,0.8093239782550938
YaleB,L1NormRegularizedNMF,laplacian,0.06,99,6.174724972334808,0.11464088397790055,0.12468785230645557
ORL,L1NormRegularizedNMF,laplacian,0.06,512,0.2687217885847839,0.6861111111111111,0.822478379439273
YaleB,L1NormRegularizedNMF,laplacian,0.06,512,5.778212283500041,0.10405156537753223,0.1085302564326824
ORL,L1NormRegularizedNMF,laplacian,0.06,3407,0.21383349052054842,0.6583333333333333,0.8238171876229815
YaleB,L1NormRegularizedNMF,laplacian,0.06,3407,2.729003397210056,0.08885819521178637,0.09575691180258084
ORL,L1NormRegularizedNMF,salt_and_pepper,0.02,0,0.08223473128936676,0.6666666666666666,0.8143028674234105
YaleB,L1NormRegularizedNMF,salt_and_pepper,0.02,0,0.07341672819753692,0.15653775322283608,0.2469933904197423
ORL,L1NormRegularizedNMF,salt_and_pepper,0.02,42,0.082421093399266,0.6972222222222222,0.8173349357161119
YaleB,L1NormRegularizedNMF,salt_and_pepper,0.02,42,0.07388431123274763,0.15469613259668508,0.23158386950319923
ORL,L1NormRegularizedNMF,salt_and_pepper,0.02,99,0.08272714585925026,0.6694444444444444,0.8132918446174552
YaleB,L1NormRegularizedNMF,salt_and_pepper,0.02,99,0.0740268356038329,0.16666666666666666,0.26500736257367935
ORL,L1NormRegularizedNMF,salt_and_pepper,0.02,512,0.08183050266506052,0.6472222222222223,0.8081542033615711
YaleB,L1NormRegularizedNMF,salt_and_pepper,0.02,512,0.07395032228922867,0.15239410681399632,0.2328543912538206
ORL,L1NormRegularizedNMF,salt_and_pepper,0.02,3407,0.08248531734315821,0.6638888888888889,0.8048517891206165
